Type,Red,Orange,Yellow,Green,Blue,Brown
2,2,11,6,4,6,3
1,4,22,7,25,18,29
2,7,4,4,3,9,4
1,3,25,10,22,12,23
2,9,5,3,4,3,8
1,3,29,16,21,17,19
2,7,5,6,4,6,3
2,5,5,2,4,7,8
1,7,29,16,19,14,19
1,5,32,12,18,22,16
1,4,26,12,24,12,25
2,6,5,5,8,4,4
2,6,4,6,3,6,3
1,5,24,10,19,26,26
2,3,4,4,6,7,8
1,0,26,16,23,15,26
2,1,8,6,7,6,3
1,2,27,13,22,24,19
2,4,6,9,6,2,5
1,3,28,9,27,17,23
1,2,32,16,23,11,22
2,3,8,6,5,4,0
2,5,6,6,9,3,4
2,5,24,11,18,17,29
2,6,4,5,7,3,5
1,3,24,13,23,20,20
1,3,31,10,29,13,20
1,1,27,14,19,21,23
2,2,4,9,5,4,3
1,5,26,10,17,17,31
1,6,33,12,19,19,16
1,5,2,3,6,7,6
2,6,3,4,5,6,6
2,4,1,9,4,8,4
1,3,34,11,13,18,25
1,5,24,15,23,13,22
2,8,2,8,3,4,4
2,5,7,4,4,4,6
2,3,6,2,8,4,6
1,5,29,14,14,13,30
2,2,5,6,6,1,11
2,3,6,5,7,8,3
